datetime,open,close,high,low,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2017-12-31 16:00:00,720.03,731.76,739.8,720.03,11889.39468,8708319.477881,16985,6061.9146,4440831.7239179
2017-12-31 20:00:00,731.87,733.98,740.0,726.73,5414.30493,3987683.028899,9062,3169.17823,2335250.3350197
2018-01-01 00:00:00,733.01,734.5,737.99,716.8,8739.23361,6350663.7476138,12593,4586.02898,3332068.9961047
2018-01-01 04:00:00,734.99,751.99,763.55,730.01,9492.34734,7108607.0795531,13909,5288.53326,3961097.9592861
2018-01-01 08:00:00,751.77,741.01,759.0,730.58,8939.36851,6670900.2953342,12399,4331.8196,3233837.7615108
2018-01-01 12:00:00,741.01,748.8,752.27,724.15,11284.08664,8340628.1996883,13681,5950.39223,4399936.7871775
2018-01-01 16:00:00,748.27,746.23,749.98,733.0,7757.00362,5760057.4062285,11347,3775.43956,2804330.0214699
2018-01-01 20:00:00,746.23,754.99,762.62,744.39,7697.21913,5818513.8665082,11385,4061.00338,3069675.2976216
2018-01-02 00:00:00,754.99,826.92,899.5,749.06,34941.91503,29279896.2899035,40383,18280.90226,15335626.6154197
2018-01-02 04:00:00,827.0,847.6,857.0,817.0,15578.17102,13098983.821127,18738,8406.69719,7072278.2308517
2018-01-02 08:00:00,847.6,849.1,853.97,825.11,12119.95908,10202281.7581104,15072,6424.36811,5409558.1459409
2018-01-02 12:00:00,849.57,865.56,866.65,835.83,16398.96539,14004574.5988425,20419,9088.0745,7757905.0059676
2018-01-02 16:00:00,865.56,850.97,878.0,810.0,22615.78318,19282177.9482226,30457,11554.27353,9889725.1461437
2018-01-02 20:00:00,850.94,855.28,869.41,831.0,11602.98985,9882031.6442596,17442,5544.06746,4728022.582854
2018-01-03 00:00:00,855.13,853.07,884.98,850.03,13726.00053,11881166.2899026,18557,7415.09025,6419189.7602727
2018-01-03 04:00:00,854.16,876.02,879.53,853.12,13431.15532,11680695.6193941,16001,8125.88811,7069044.0173643
2018-01-03 08:00:00,876.03,863.02,877.66,820.0,18973.02167,16184238.3707775,23311,9537.62977,8133521.7624476
2018-01-03 12:00:00,863.3,876.0,876.0,810.0,13362.3231,11528541.7806362,19067,6202.69054,5373421.3052664
