Trade_ID,Direction,Entry_Time,Exit_Time,Hold_Bars,Entry_Price,Exit_Price,Exit_Reason,PnL_Percent,MFE_Percent
169,Long,2024-05-14 10:00:00,2024-05-14 11:00:00,1,61798.57,61566.52,Fast_MA_Exit,-0.3755,0.0
170,Long,2024-05-15 00:00:00,2024-05-15 11:00:00,11,61696.0,63757.56,TP_Hit,3.3415,3.3415
171,Long,2024-05-15 00:00:00,2024-05-16 13:00:00,37,61696.0,65598.7,Fast_MA_Exit,6.3257,7.7927
172,Long,2024-05-16 18:00:00,2024-05-16 19:00:00,1,65186.85,65273.9,Fast_MA_Exit,0.1335,0.1335
173,Long,2024-05-17 13:00:00,2024-05-17 14:00:00,1,66806.66,67195.1,Signal_Exit,0.5814,0.5814
174,Long,2024-05-21 01:00:00,2024-05-21 09:00:00,8,71283.8,71056.0,Time_Exit,-0.3196,0.0003
175,Long,2024-05-21 14:00:00,2024-05-21 15:00:00,1,69826.99,69668.03,Fast_MA_Exit,-0.2276,0.0
176,Long,2024-05-21 19:00:00,2024-05-21 20:00:00,1,69727.01,69727.76,Fast_MA_Exit,0.0011,0.0011
177,Long,2024-07-01 02:00:00,2024-07-01 10:00:00,8,63437.69,62662.09,SL_Hit,-1.2226,0.0
178,Long,2024-07-15 03:00:00,2024-07-15 11:00:00,8,62610.0,62616.0,Time_Exit,0.0096,0.4305
179,Long,2024-07-16 13:00:00,2024-07-16 15:00:00,2,63836.09,64500.0,Signal_Exit,1.04,1.6325
180,Long,2024-07-19 18:00:00,2024-07-20 02:00:00,8,67157.26,66602.01,Time_Exit,-0.8268,0.0
181,Long,2024-07-28 04:00:00,2024-07-28 05:00:00,1,67422.0,67486.01,Fast_MA_Exit,0.0949,0.0949
182,Long,2024-07-29 17:00:00,2024-07-29 18:00:00,1,67419.99,67303.05,Fast_MA_Exit,-0.1735,0.0
183,Long,2024-08-09 00:00:00,2024-08-09 08:00:00,8,61400.0,60759.99,Time_Exit,-1.0424,0.0
184,Long,2024-08-09 10:00:00,2024-08-09 11:00:00,1,60655.24,60551.99,Fast_MA_Exit,-0.1702,0.0
185,Long,2024-08-09 15:00:00,2024-08-09 16:00:00,1,60432.65,60197.5,Fast_MA_Exit,-0.3891,0.0
186,Long,2024-08-12 13:00:00,2024-08-12 17:00:00,4,60299.98,58526.78,SL_Hit,-2.9406,0.0
187,Long,2024-08-27 00:00:00,2024-08-27 01:00:00,1,62994.8,62900.07,Fast_MA_Exit,-0.1504,0.0
188,Long,2024-09-10 15:00:00,2024-09-11 00:00:00,9,56819.6,56717.99,Trailing_Stop,-0.1788,1.993
189,Long,2024-09-11 05:00:00,2024-09-11 06:00:00,1,56460.0,56712.0,Fast_MA_Exit,0.4463,0.4463
190,Long,2024-09-26 19:00:00,2024-09-28 05:00:00,34,64664.26,65800.0,Fast_MA_Exit,1.7564,2.5343
191,Long,2024-10-11 22:00:00,2024-10-12 00:00:00,2,62540.0,62733.67,Signal_Exit,0.3097,0.4797
192,Long,2024-10-13 10:00:00,2024-10-13 11:00:00,1,62561.33,62664.01,Fast_MA_Exit,0.1641,0.1641
193,Long,2024-10-14 15:00:00,2024-10-14 22:00:00,7,65703.99,66083.99,Signal_Exit,0.5784,1.1415
194,Long,2024-10-15 14:00:00,2024-10-15 19:00:00,5,66022.0,66469.41,Signal_Exit,0.6777,1.4362
195,Long,2024-10-29 19:00:00,2024-10-29 23:00:00,4,72336.22,72289.99,Signal_Exit,-0.0639,0.5533
196,Long,2024-10-30 17:00:00,2024-10-30 18:00:00,1,71974.75,71822.01,Fast_MA_Exit,-0.2122,0.0
197,Long,2024-11-06 03:00:00,2024-11-06 11:00:00,8,74261.07,74171.47,Time_Exit,-0.1207,0.6831
198,Long,2024-11-06 14:00:00,2024-11-07 02:00:00,12,74298.0,75048.01,Time_Exit,1.0095,2.428
199,Long,2024-11-07 05:00:00,2024-11-07 06:00:00,1,74768.27,74757.58,Fast_MA_Exit,-0.0143,0.0
200,Long,2024-11-07 21:00:00,2024-11-08 05:00:00,8,75872.0,75876.0,Time_Exit,0.0053,0.1756
201,Long,2024-11-10 05:00:00,2024-11-10 19:00:00,14,78903.42,78950.01,Trailing_Stop,0.059,2.0717
202,Long,2024-11-12 02:00:00,2024-11-12 06:00:00,4,88047.46,88983.35,Signal_Exit,1.0629,1.7014
203,Long,2024-11-12 09:00:00,2024-11-12 10:00:00,1,86787.51,87155.55,Fast_MA_Exit,0.4241,0.4241
204,Long,2024-11-12 12:00:00,2024-11-12 13:00:00,1,86330.52,87001.51,Fast_MA_Exit,0.7772,0.7772
205,Long,2024-11-12 15:00:00,2024-11-12 16:00:00,1,87030.31,86966.07,Fast_MA_Exit,-0.0738,0.0
206,Long,2024-11-13 19:00:00,2024-11-13 20:00:00,1,89691.99,88539.77,Fast_MA_Exit,-1.2846,0.0
207,Long,2024-11-15 07:00:00,2024-11-15 14:00:00,7,88082.96,88445.41,Fast_MA_Exit,0.4115,2.3444
208,Long,2024-11-29 17:00:00,2024-11-29 23:00:00,6,97175.99,96968.06,Fast_MA_Exit,-0.214,0.2923
209,Long,2024-12-05 02:00:00,2024-12-05 08:00:00,6,102964.0,102698.24,Signal_Exit,-0.2581,0.3651
210,Long,2024-12-05 15:00:00,2024-12-05 16:00:00,1,101037.51,101282.36,Fast_MA_Exit,0.2423,0.2423
211,Long,2024-12-05 18:00:00,2024-12-05 19:00:00,1,99028.0,99072.84,Fast_MA_Exit,0.0453,0.0453
212,Long,2024-12-06 12:00:00,2024-12-07 02:00:00,14,98591.99,99299.63,Trailing_Stop,0.7177,2.8887
213,Long,2024-12-12 18:00:00,2024-12-12 19:00:00,1,99481.32,100028.01,Fast_MA_Exit,0.5495,0.5495
214,Long,2024-12-12 21:00:00,2024-12-12 22:00:00,1,100444.0,100004.29,Fast_MA_Exit,-0.4378,0.0
215,Long,2024-12-16 00:00:00,2024-12-16 08:00:00,8,105531.99,104676.72,Time_Exit,-0.8104,0.0
216,Long,2024-12-16 11:00:00,2024-12-16 12:00:00,1,103656.02,103908.02,Fast_MA_Exit,0.2431,0.2431
217,Long,2024-12-16 18:00:00,2024-12-17 01:00:00,7,106583.12,106269.14,Signal_Exit,-0.2946,0.0
218,Long,2024-12-17 18:00:00,2024-12-17 19:00:00,1,106475.89,106732.98,Fast_MA_Exit,0.2414,0.2414
